C语言程序设计,78
高等数学Ⅱ,77
公益劳动,85
形势与政策Ⅱ,78
大学语文,85
大学物理Ⅰ,82
社会实践二,92
职业生涯与发展规划,76
马克思主义基本原理概论,82
大学物理Ⅱ,75
线性代数A,89
大学英语Ⅲ,72
社会实践三,90
文献检索,87
概率论与数理统计A,91
大学英语Ⅳ,86
毛泽东思想和中国特色社会主义理论体系概论,73
离散数学,80
大学生就业指导,80
新时代劳动教育,84
社会实践一,79
入学教育,84
高等数学I,85
心理健康教育,85
大学计算机基础,93
艺术鉴赏,78
大学英语Ⅰ,84
思想道德修养与法律基础,83
形势与政策Ⅰ,77
中国近现代史纲要,67
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,92
大学英语Ⅱ,76
C语言程序设计,77
高等数学Ⅱ,54
公益劳动,85
形势与政策Ⅱ,77
大学语文,88
大学物理Ⅰ,67
社会实践二,88
职业生涯与发展规划,83
马克思主义基本原理概论,78
大学物理Ⅱ,60
线性代数A,69
大学英语Ⅲ,79
社会实践三,80
文献检索,90
概率论与数理统计A,86
大学英语Ⅳ,84
毛泽东思想和中国特色社会主义理论体系概论,85
离散数学,78
大学生就业指导,71
新时代劳动教育,85
社会实践一,91
入学教育,88
高等数学I,66
心理健康教育,77
大学计算机基础,82
艺术鉴赏,82
大学英语Ⅰ,85
思想道德修养与法律基础,70
形势与政策Ⅰ,78
中国近现代史纲要,64
军事理论,82
军事技能训练,80
机械工程训练,75
大学体育Ⅰ,90
大学英语Ⅱ,81
C语言程序设计,73
高等数学Ⅱ,65
公益劳动,85
形势与政策Ⅱ,72
大学语文,83
大学物理Ⅰ,61
社会实践二,92
职业生涯与发展规划,83
马克思主义基本原理概论,77
大学物理Ⅱ,52
线性代数A,68
大学英语Ⅲ,68
社会实践三,92
文献检索,69
概率论与数理统计A,87
大学英语Ⅳ,78
毛泽东思想和中国特色社会主义理论体系概论,71
离散数学,77
大学生就业指导,85
新时代劳动教育,85
社会实践一,96
入学教育,90
高等数学I,75
心理健康教育,92
大学计算机基础,87
艺术鉴赏,90
大学英语Ⅰ,89
思想道德修养与法律基础,82
形势与政策Ⅰ,82
中国近现代史纲要,73
军事理论,84
军事技能训练,80
机械工程训练,74
大学体育Ⅰ,85
大学英语Ⅱ,85
C语言程序设计,79
高等数学Ⅱ,75
公益劳动,85
形势与政策Ⅱ,85
大学语文,89
大学物理Ⅰ,80
社会实践二,96
职业生涯与发展规划,78
马克思主义基本原理概论,87
大学物理Ⅱ,61
线性代数A,93
大学英语Ⅲ,77
社会实践三,95
文献检索,91
概率论与数理统计A,94
大学英语Ⅳ,83
毛泽东思想和中国特色社会主义理论体系概论,95
离散数学,85
大学生就业指导,77
新时代劳动教育,85
社会实践一,90
入学教育,89
高等数学I,89
心理健康教育,83
大学计算机基础,92
艺术鉴赏,89
大学英语Ⅰ,85
思想道德修养与法律基础,81
形势与政策Ⅰ,84
中国近现代史纲要,74
军事理论,85
军事技能训练,80
机械工程训练,82
大学体育Ⅰ,86
大学英语Ⅱ,80
C语言程序设计,78
高等数学Ⅱ,58
公益劳动,85
形势与政策Ⅱ,83
大学语文,82
大学物理Ⅰ,65
